ticket;classe;tipo_provento;valor_recebido;data_pgto;mes;ano;status
MXRF11;FII;Dividendos;R$ 1,76;15/09/2022;9;2022;PAGO
MXRF11;FII;Dividendos;R$ 2,20;17/10/2022;10;2022;PAGO
MXRF11;FII;Dividendos;R$ 10,10;16/11/2022;11;2022;PAGO
MXRF11;FII;Dividendos;R$ 8,16;14/12/2022;12;2022;PAGO
MXRF11;FII;Dividendos;R$ 11,30;13/01/2023;1;2023;PAGO
MXRF11;FII;Dividendos;R$ 12,43;14/02/2023;2;2023;PAGO
MXRF11;FII;Dividendos;R$ 14,40;14/03/2023;3;2023;PAGO
MXRF11;FII;Dividendos;R$ 18,00;17/04/2023;4;2023;PAGO
HGLG11;FII;Dividendos;R$ 11,00;14/03/2023;3;2023;PAGO
HGLG11;FII;Dividendos;R$ 11,00;17/04/2023;4;2023;PAGO
KNRI11;FII;Dividendos;R$ 1,90;14/03/2023;3;2023;PAGO
KNRI11;FII;Dividendos;R$ 6,65;17/04/2023;4;2023;PAGO
XPLG11;FII;Dividendos;R$ 7,40;17/04/2023;4;2023;PAGO
XPLG11;FII;Dividendos;R$ 7,40;14/03/2023;3;2023;PAGO
HSML11;FII;Dividendos;R$ 7,40;07/03/2023;3;2023;PAGO
HSML11;FII;Dividendos;R$ 7,40;10/04/2023;4;2023;PAGO
IRDM11;FII;Dividendos;R$ 9,48;16/02/2023;2;2023;PAGO
IRDM11;FII;Dividendos;R$ 9,28;16/03/2023;3;2023;PAGO
IRDM11;FII;Dividendos;R$ 9,11;19/04/2023;4;2023;PAGO
JSRE11;FII;Dividendos;R$ 0,49;14/02/2023;2;2023;PAGO
JSRE11;FII;Dividendos;R$ 2,76;14/03/2023;3;2023;PAGO
JSRE11;FII;Dividendos;R$ 4,60;17/04/2023;4;2023;PAGO
ALZR11;FII;Dividendos;R$ 1,61;24/02/2023;2;2023;PAGO
ALZR11;FII;Dividendos;R$ 4,08;24/03/2023;3;2023;PAGO
ALZR11;FII;Dividendos;R$ 4,08;25/04/2023;4;2023;PAGO
BRCR11;FII;Dividendos;R$ 4,60;17/04/2023;4;2023;PAGO
MALL11;FII;Dividendos;R$ 1,56;14/03/2023;3;2023;PAGO
MALL11;FII;Dividendos;R$ 3,90;17/04/2023;4;2023;PAGO
XPML11;FII;Dividendos;R$ 4,00;25/04/2023;4;2023;PAGO
XPML11;FII;Dividendos;R$ 3,90;24/03/2023;3;2023;PAGO
KNCR11;FII;Dividendos;R$ 6,10;14/04/2023;4;2023;PAGO
BTLG11;FII;Dividendos;R$ 1,48;24/02/2023;2;2023;PAGO
BTLG11;FII;Dividendos;R$ 3,70;24/03/2023;3;2023;PAGO
BTLG11;FII;Dividendos;R$ 3,70;25/04/2023;4;2023;PAGO
VINO11;FII;Dividendos;R$ 3,10;17/04/2023;4;2023;PAGO
RECR11;FII;Dividendos;R$ 6,28;17/04/2023;4;2023;PAGO
RECT11;FII;Dividendos;R$ 2,70;17/04/2023;4;2023;PAGO
VSLH11;FII;Dividendos;R$ 5,50;14/02/2023;2;2023;PAGO
VSLH11;FII;Dividendos;R$ 3,00;14/03/2023;3;2023;PAGO
VSLH11;FII;Dividendos;R$ 1,50;17/04/2023;4;2023;PAGO
KDIF11;FII-Infra;Dividendos;R$ 7,25;10/04/2023;4;2023;PAGO
JURO11;FII-Infra;Dividendos;R$ 1,25;17/04/2023;4;2023;PAGO
BODB11;FII-Infra;Dividendos;R$ 0,31;07/03/2023;3;2023;PAGO
BODB11;FII-Infra;Dividendos;R$ 0,67;03/04/2023;4;2023;PAGO
BODB11;FII-Infra;Dividendos;R$ 2,31;10/04/2023;4;2023;PAGO
CMIG4;Ação;JCP;R$ 2,87;30/06/2024;6;2024;PAGO
CMIG4;Ação;JCP;R$ 2,87;30/12/2024;12;2024;PAGO
ITSA4;Ação;JCP;R$ 0,66;25/08/2023;8;2023;PAGO
SANB4;Ação;JCP;R$ 1,79;15/05/2023;5;2023;PAGO
CXSE3;Ação;Dividendos;R$ 5,10;08/05/2023;5;2023;PAGO
UNIP3;Ação;Dividendos;R$ 1,74;04/05/2023;5;2023;PAGO
HSML11;FII;Dividendos;R$ 7,40;08/05/2023;5;2023;PAGO
TVRI11;FII;Dividendos;R$ 1,80;15/05/2023;5;2023;PAGO
HGLG11;FII;Dividendos;R$ 11,00;15/05/2023;5;2023;PAGO
MALL11;FII;Dividendos;R$ 3,90;15/05/2023;5;2023;PAGO
JSRE11;FII;Dividendos;R$ 4,60;15/05/2023;5;2023;PAGO
XPLG11;FII;Dividendos;R$ 7,40;15/05/2023;5;2023;PAGO
VINO11;FII;Dividendos;R$ 3,10;15/05/2023;5;2023;PAGO
KNRI11;FII;Dividendos;R$ 6,65;15/05/2023;5;2023;PAGO
KNCR11;FII;Dividendos;R$ 5,00;12/05/2023;5;2023;PAGO
MXRF11;FII;Dividendos;R$ 18,00;15/05/2023;5;2023;PAGO
KDIF11;FII-Infra;Dividendos;R$ 6,00;08/05/2023;5;2023;PAGO
BODB11;FII-Infra;Dividendos;R$ 4,65;08/05/2023;5;2023;PAGO
JURO11;FII-Infra;Dividendos;R$ 3,75;15/05/2023;5;2023;PAGO
CMIG4;Ação;Dividendos;R$ 1,97;30/06/2023;6;2023;PAGO
CMIG4;Ação;Dividendos;R$ 1,97;28/12/2023;12;2023;PAGO
VSLH11;FII;Dividendos;R$ 1,50;15/05/2023;5;2023;PAGO
RECT11;FII;Dividendos;R$ 2,70;15/05/2023;5;2023;PAGO
BRCR11;FII;Dividendos;R$ 4,50;15/05/2023;5;2023;PAGO
RECR11;FII;Dividendos;R$ 5,03;15/05/2023;5;2023;PAGO
KLBN11;Ação;Dividendos;R$ 7,05;16/05/2023;5;2023;PAGO
CSAN3;Ação;Dividendos;R$ 8,57;31/05/2023;5;2023;PAGO
IRDM11;FII;Dividendos;R$ 9,12;17/05/2023;5;2023;PAGO
GGBR4;Ação;JCP;R$ 3,78;29/05/2023;5;2023;PAGO
BTLG11;FII;Dividendos;R$ 3,70;25/05/2023;5;2023;PAGO
XPML11;FII;Dividendos;R$ 4,05;25/05/2023;5;2023;PAGO
ALZR11;FII;Dividendos;R$ 4,07;25/05/2023;5;2023;PAGO
TVRI11;FII;Dividendos;R$ 1,80;15/06/2023;6;2023;PAGO
JURO11;FII-Infra;Dividendos;R$ 6,25;15/06/2023;6;2023;PAGO
MXRF11;FII;Dividendos;R$ 18,00;15/06/2023;6;2023;PAGO
VINO11;FII;Dividendos;R$ 3,10;15/06/2023;6;2023;PAGO
JSRE11;FII;Dividendos;R$ 4,60;15/06/2023;6;2023;PAGO
KNRI11;FII;Dividendos;R$ 6,65;15/06/2023;6;2023;PAGO
KNCR11;FII;Dividendos;R$ 6,20;14/06/2023;6;2023;PAGO
XPLG11;FII;Dividendos;R$ 7,50;15/06/2023;6;2023;PAGO
KDIF11;FII-Infra;Dividendos;R$ 6,00;07/06/2023;6;2023;PAGO
MALL11;FII;Dividendos;R$ 3,90;15/06/2023;6;2023;PAGO
HSML11;FII;Dividendos;R$ 7,40;07/06/2023;6;2023;PAGO
BODB11;FII-Infra;Dividendos;R$ 16,80;07/06/2023;6;2023;PAGO
HGLG11;FII;Dividendos;R$ 11,00;15/06/2023;6;2023;PAGO
ITSA4;Ação;JCP;R$ 0,66;03/07/2023;7;2023;PAGO
BBAS3;Ação;Dividendos;R$ 0,12;12/06/2023;6;2023;PAGO
BBAS3;Ação;JCP;R$ 0,56;12/06/2023;6;2023;PAGO
BODB11;FII-Infra;Dividendos;R$ 1,76;13/06/2023;6;2023;PAGO
RECR11;FII;Dividendos;R$ 6,13;15/06/2023;6;2023;PAGO
BRCR11;FII;Dividendos;R$ 4,50;15/06/2023;6;2023;PAGO
VSLH11;FII;Dividendos;R$ 1,50;15/06/2023;6;2023;PAGO
RECT11;FII;Dividendos;R$ 2,00;15/06/2023;6;2023;PAGO
IRDM11;FII;Dividendos;R$ 8,67;19/06/2023;6;2023;PAGO
CMIG4;Ação;JCP;R$ 2,97;30/06/2023;6;2023;PAGO
VGIR11;FII;Dividendos;R$ 1,44;20/06/2023;6;2023;PAGO
BBAS3;Ação;JCP;R$ 0,29;30/06/2023;6;2023;PAGO
BTLG11;FII;Dividendos;R$ 3,70;23/06/2023;6;2023;PAGO
ALZR11;FII;Dividendos;R$ 4,08;23/06/2023;6;2023;PAGO
XPML11;FII;Dividendos;R$ 4,05;23/06/2023;6;2023;PAGO
CSMG3;Ação;JCP;R$ 0,57;14/08/2023;8;2023;PAGO
TVRI11;FII;Dividendos;R$ 3,60;14/07/2023;7;2023;PAGO
MXRF11;FII;Dividendos;R$ 18,00;14/07/2023;7;2023;PAGO
